"infected","landscape","latitude"
1,"Urban",40.7191856577992
0,"Urban",27.5888704205863
1,"Urban",32.3007841035724
1,"Urban",30.1714950497262
1,"Urban",33.8462875154801
1,"Urban",33.6464732256718
1,"Urban",20.7983778836206
1,"Urban",30.795237259008
1,"Urban",32.7944098040462
1,"Urban",46.3410321902484
0,"Urban",33.6555418022908
1,"Urban",33.9575686864555
1,"Urban",37.4741573818028
1,"Urban",24.9880381254479
1,"Urban",26.1499480903149
1,"Urban",27.7872653328814
1,"Urban",26.324919341132
1,"Urban",29.5589300524443
0,"Urban",21.4197907689959
1,"Urban",44.2516579269432
1,"Urban",37.1457519149408
1,"Urban",22.8663609642535
1,"Urban",27.9224333073944
1,"Urban",33.9253194397315
1,"Urban",42.4845874682069
1,"Urban",24.4545529899187
0,"Urban",33.390586161986
1,"Urban",40.7880922639742
1,"Urban",43.0849598208442
1,"Urban",33.0001111514866
1,"Urban",27.7814336586744
1,"Urban",44.2900672019459
1,"Urban",48.4356038970873
1,"Urban",23.7182022933848
1,"Urban",41.4462242973968
0,"Urban",41.9939738605171
0,"Urban",34.7254862380214
1,"Urban",22.1999354008585
0,"Urban",48.8456430099905
0,"Urban",44.967551715672
1,"Urban",23.3003196190111
0,"Urban",48.3872123062611
0,"Urban",29.2228011297993
0,"Urban",40.3965884307399
1,"Urban",36.3276979047805
1,"Urban",39.9646481242962
0,"Urban",39.3260458344594
1,"Urban",21.3613642239943
0,"Urban",48.4451708267443
1,"Urban",31.3964099646546
1,"Rural",26.9454466993921
1,"Rural",39.9520919285715
1,"Rural",35.0006303330883
0,"Rural",44.3570458306931
0,"Rural",36.6901143826544
0,"Rural",31.3526737806387
0,"Rural",31.7923971870914
1,"Rural",24.7575415857136
0,"Rural",41.758631777484
1,"Rural",20.0641208468005
1,"Rural",44.7283402318135
0,"Rural",46.1408935906366
0,"Rural",45.2137945475988
1,"Rural",25.8916135388426
1,"Rural",36.150749460794
1,"Rural",24.9836769513786
1,"Rural",21.172448405996
0,"Rural",35.3028853936121
1,"Rural",33.4236670401879
0,"Rural",41.2757108150981
1,"Rural",34.592457045801
1,"Rural",29.766766843386
0,"Rural",43.7827953649685
1,"Rural",27.7387134800665
0,"Rural",26.171984882094
0,"Rural",41.5094863204286
1,"Rural",42.3405122896656
0,"Rural",22.5131277902983
0,"Rural",27.3313008644618
0,"Rural",22.2161586373113
0,"Rural",47.1067489613779
0,"Rural",47.441810015589
1,"Rural",33.2440951932222
1,"Rural",35.4877407173626
0,"Rural",39.2697895248421
0,"Rural",46.4733823784627
1,"Rural",43.3676349790767
0,"Rural",34.7398516815156
1,"Rural",23.8016752293333
1,"Rural",36.9285177532583
1,"Rural",41.165806511417
0,"Rural",35.8269208483398
0,"Rural",37.962805069983
0,"Rural",28.7715674005449
1,"Rural",29.86584168626
0,"Rural",27.007745327428
1,"Rural",42.1455959440209
1,"Rural",39.9830124760047
0,"Rural",38.4902415727265
1,"Rural",21.7419095919468
